2026-01-23 21:02:09,076 | INFO     | nbogne | Configuration loaded from: config/default.yaml
2026-01-23 21:02:09,077 | INFO     | nbogne | Dry run - configuration validated successfully
2026-01-23 21:02:09,077 | INFO     | nbogne |   Facility: FAC-001 (Sample Health Facility)
2026-01-23 21:02:09,078 | INFO     | nbogne |   Mediator: https://mediator.example.com/gsm/inbound
2026-01-23 21:02:09,078 | INFO     | nbogne |   EMR: openmrs at http://localhost:8080
2026-01-23 21:02:09,078 | INFO     | nbogne |   Queue: data/outbox.db
2026-01-23 21:02:09,079 | INFO     | nbogne |   Server: 0.0.0.0:8080/fhir
2026-01-26 11:12:59,081 | INFO     | nbogne | Configuration loaded from: config/local.yaml
2026-01-26 11:12:59,082 | INFO     | nbogne | ============================================================
2026-01-26 11:12:59,083 | INFO     | nbogne | nBogne Adapter Starting
2026-01-26 11:12:59,083 | INFO     | nbogne | ============================================================
2026-01-26 11:12:59,083 | INFO     | nbogne | Facility: FAC-001 (Sample Health Facility)
2026-01-26 11:12:59,083 | INFO     | nbogne | Mediator: https://mediator.example.com/gsm/inbound
2026-01-26 11:12:59,083 | INFO     | nbogne | EMR Receiver: http://0.0.0.0:8080/fhir
2026-01-26 11:12:59,083 | INFO     | nbogne | ============================================================
2026-01-26 11:12:59,083 | INFO     | nbogne.adapter | Initializing nBogne Adapter...
2026-01-26 11:12:59,096 | INFO     | nbogne.queue | Initialized persistent queue: data/outbox.db
2026-01-26 11:12:59,096 | INFO     | nbogne.transmitter | Initialized transmitter: endpoint=https://mediator.example.com/gsm/inbound
2026-01-26 11:12:59,096 | INFO     | nbogne.receiver | Initialized EMR receiver: 0.0.0.0:8080/fhir
2026-01-26 11:12:59,096 | INFO     | nbogne.adapter | nBogne Adapter initialized: facility=FAC-001, mediator=https://mediator.example.com/gsm/inbound
2026-01-26 11:12:59,097 | ERROR    | nbogne | Fatal error: [Errno 98] Address already in use
2026-01-26 11:13:43,246 | INFO     | nbogne | Configuration loaded from: config/local.yaml
2026-01-26 11:13:43,246 | INFO     | nbogne | ============================================================
2026-01-26 11:13:43,246 | INFO     | nbogne | nBogne Adapter Starting
2026-01-26 11:13:43,246 | INFO     | nbogne | ============================================================
2026-01-26 11:13:43,246 | INFO     | nbogne | Facility: FAC-001 (Sample Health Facility)
2026-01-26 11:13:43,247 | INFO     | nbogne | Mediator: https://mediator.example.com/gsm/inbound
2026-01-26 11:13:43,247 | INFO     | nbogne | EMR Receiver: http://0.0.0.0:8081/fhir
2026-01-26 11:13:43,247 | INFO     | nbogne | ============================================================
2026-01-26 11:13:43,247 | INFO     | nbogne.adapter | Initializing nBogne Adapter...
2026-01-26 11:13:43,248 | INFO     | nbogne.queue | Initialized persistent queue: data/outbox.db
2026-01-26 11:13:43,248 | INFO     | nbogne.transmitter | Initialized transmitter: endpoint=https://mediator.example.com/gsm/inbound
2026-01-26 11:13:43,248 | INFO     | nbogne.receiver | Initialized EMR receiver: 0.0.0.0:8081/fhir
2026-01-26 11:13:43,248 | INFO     | nbogne.adapter | nBogne Adapter initialized: facility=FAC-001, mediator=https://mediator.example.com/gsm/inbound
2026-01-26 11:13:43,255 | INFO     | nbogne.receiver | EMR receiver started on 0.0.0.0:8081
2026-01-26 11:13:43,256 | INFO     | nbogne.adapter | Queue drainer started
2026-01-26 11:13:43,256 | INFO     | nbogne.adapter | nBogne Adapter started
